Date Created,Tweets
2022-11-26 23:21:00+00:00,"Folks, the work is not over—​​@ReverendWarnock is headed to a runoff.

That means the result of this election depends on what we do between now and December 6. 

Pitch in a grassroots donation to Senator Warnock’s campaign to help him win: 
https://t.co/N89CWmlCzo"
2022-11-26 17:03:05+00:00,"Small businesses are vital to our communities and employ millions of Americans around the country. 

Today, and every day, support your neighbors and strengthen your community by shopping small. https://t.co/XX48b70I8v"
2022-11-24 15:00:34+00:00,"Today and every day, we have so much to be grateful for. 

Happy Thanksgiving to our service members and military families whose loved ones are on duty and unable to be with their families. We hope your day is filled with joy and gratitude."
2022-11-22 16:00:25+00:00,"I was honored to pardon Chocolate and Chip, our national Thanksgiving turkeys. https://t.co/sNcaI6NEqj"
2022-11-21 22:29:00+00:00,"The Respect for Marriage Act will ensure that LGBTQ+ and interracial couples are respected and protected equally under federal law. I urge Congress to quickly send this bill to my desk, where I will promptly sign it into law."
2022-11-18 17:22:01+00:00,"We've taken steps to lock in vital infrastructure investments—delivering lower costs for clean energy, spurring good-paying union jobs for American workers, and advancing environmental justice in our communities. 

We are proving that good climate policy is good economic policy."
2022-11-16 02:20:35+00:00,Donald Trump failed America. https://t.co/fylyocYcse
2022-11-15 21:30:02+00:00,"Today is the one-year anniversary of the Bipartisan Infrastructure Law, the most significant federal investment in our nation’s infrastructure since Eisenhower’s Interstate Highway System."
2022-11-15 18:19:00+00:00,"One year after the Bipartisan Infrastructure Law was signed, it is already delivering progress on once-in-a-generation investments in our roads, bridges, clean water systems, high-speed internet access, and so much more."
2022-11-15 15:05:04+00:00,The difference between talking and delivering. https://t.co/TC3X6H3nj0
2022-11-14 22:45:02+00:00,"In this year’s midterm elections, we saw the strength and resilience of American democracy in action. 

There was a strong rejection of political violence, voter intimidation, and election deniers at every level.

The American people proved—once again—democracy is who we are."
2022-11-12 22:56:00+00:00,"The American people overwhelmingly support our agenda:

Lower prescription drug costs
Making health care more affordable
Rebuilding America
Taking on the climate crisis
Making big corporations begin to pay their fair share in taxes

It matters."
2022-11-12 18:57:05+00:00,Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats. https://t.co/ANkzNLKJak
2022-11-11 20:00:10+00:00,"I will work with anyone on ideas to provide more breathing room for American families. And I will oppose any effort to undo my agenda or make inflation worse.

We are on the right path, and we need to keep moving forward to build an economy from the bottom up and the middle out."
2022-11-11 14:50:25+00:00,"Our nation has a truly sacred obligation to prepare those we send into harm’s way, care for their families when they’re gone, and care for them and their families when they’re home. 

That’s a lifetime commitment the nation owes to every one of our veterans. https://t.co/d11FFcxeTd"
